type,commentsCount,url,videoViewCount,likesCount,firstComment,videoPlayCount,caption,mentions,tagged_users,latestComments,hashtags
Image,10,https://www.instagram.com/p/C9AWXz7IN9z/,0,25090,Its a week now and i m still waiting for your response. Is there any contact number where i can raise a complaint to a live human with a brain??,0,"IYKYK 🤭 [ Minions In India, Welcome Minions In India, Despicable Me 4, Minions, Despicable Me, Universal Pictures India, Universal Pictures ]",no mentions,[],"['Its a week now and i m still waiting for your response. Is there any contact number where i can raise a complaint to a live human with a brain??', 'Are you guys listening?? Or all employees of bookmyshow are in cinema hall forever?? There is fraud happening under your nose and you guys dont bother to investigate. Your back end GV team is sending invalid GV codes to customers.', '0', '@bookmyshowin not capable of provide service on GV. Invalid GV codes given. @sbicard_connect  getting 3rd grade service for their card customers by Bookmyshow. #bookmyshowfraud', '@comedycentralin', 'MICHAELLLL']",[]
Video,6,https://www.instagram.com/p/C81lt6RArCl/,2432,157,😂😂😂😂,10336,"Warning: These bad jokes might affect your sense of humour 👀 Instead, watch your favourite comedians live. Grab your tix now 🎟️[ Comedy, Stand-up Comedy, Jokes, Fun, Laughter, Plans, Book Now, Explore, Trending ]",no mentions,[],"['😂😂😂😂', '@bhx.vna was trying so hard not to laugh', '😭😭😭??', '@bhx.vna omg celebrity', 'Hey 🙌❤️', '@pappurazzi bad jokes king 👑']",[]
Video,65,https://www.instagram.com/p/C9Am_wXINg8/,197410,44125,👏👏👏👏👏👏👏,460774,"Apni hi movie ka side character banke itni khushi pehle kabhi nahi mili 🥺[BookMyShow, T20 CWC 2024, World Cup, Celebrations, Victory, India, Cheeku, Virat Kohli, Trophy]",no mentions,[],"['👏👏👏👏👏👏👏', '😍😍', 'Can u notice? King ke haath me Trophy Gold ki lagri hai😍❤️❤️', '😭😭😭for this he is our king, 👑 he knows our feelings,our prayers ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️', '🔥🇮🇳', '❤️', 'Ye video kaha milegi❤️', '🇮🇳👑🇮🇳', 'Nicr', '@bookmyshowin 😂❤️']",[]
Video,19,https://www.instagram.com/p/C9Crtk3heeI/,61194,6992,Where to book a ticket for bad newz movie ?,133072,"The only 𝘣𝘢𝘥 𝘯𝘦𝘸𝘴 is that we need to wait to watch him on the big screen 🥺[ Bad Newz, Vicky Kaushal, Triptii Dimri, Ammy Virk, Neha Dhupia, Comedy, Drama, New Movie, Trending, Trending Song, Tauba Tauba, Coming Soon, Explore ]",no mentions,['vickykaushal09'],"['Where to book a ticket for bad newz movie ?', '@vickykaushal09 🔥🔥🔥', '@bookmyshowin did you have Born pink cinema tickets', '@_re_fur_bi_shed', '@mechanophilia broooo😂', 'Hritik roshan🗿', '@nikki_xj I had to remind myself I’m married… let’s keep it at that 😅']",[]
Video,5,https://www.instagram.com/p/C8w2dEJtyim/,4955,313,Better than Shivam dube,16152,"Taiyaar toh hum pichle saal se hain 🥹[ BookMyShow, T20 Cricket World Cup, Cricket Fever, Plans, Finals, INDvsSA, Hitman, Chain Kulii Ki Main Kulii, Rohit Sharma, Indian Cricket Team, Bollywood ]",no mentions,[],"['Better than Shivam dube', '🙌🏻🙌🏻🙌🏻', 'Bro is literally me', 'Rooting for this man in blue 💙']",[]
Image,2,https://www.instagram.com/p/C8mQyyvt7gw/,0,19855,Available 😘,0,"Aise logon se door raho 😇 Janhit mein jaari!Watch #VipulGoyal live, book your tix now! Link in bio 🎟️#StandUpComedy #Comedy #Fun #Plans #BookNow #Explore #Trending",no mentions,['humorouslyyours'],"['Available 😘', 'Arey gand fati pdi hai jinda waapis aara Chopta se']","['VipulGoyal', 'StandUpComedy', 'Comedy', 'Fun', 'Plans', 'BookNow', 'Explore', 'Trending']"
Video,1,https://www.instagram.com/p/C8y1s8zomTg/,4232,224,You right....no diversity in rice please. Leave it alone!,14506,"According to Uncle Roger, we need diversity in people NOT on the plate 😭Grab your tickets for Nigel Ng: The Haiyaa World Tour at the link in bio 🔗#NigelNg #UncleRoger #NigelNgTheHaiyaaWorldTour #Haiyaa #HaiyaaTour #HaiyaaWorldTour #HaiyaaIndiaTour #BookMyShowLive",no mentions,['bookmyshowin'],['You right....no diversity in rice please. Leave it alone!'],"['NigelNg', 'UncleRoger', 'NigelNgTheHaiyaaWorldTour', 'Haiyaa', 'HaiyaaTour', 'HaiyaaWorldTour', 'HaiyaaIndiaTour', 'BookMyShowLive']"
Sidecar,0,https://www.instagram.com/p/C8zImOst4Sb/,0,232,,0,"It’s their love language you guysss! 🥰Watch Jatt & Juliet 3 in cinemas near you. Link in bio 🎟️ [ Comedy, Romance, Diljit Dosanjh, Neeru Bajwa, New Movie, New Release, Movie Plans, Plans, Trending, Book Now ]",no mentions,"['diljitdosanjh', 'neerubajwa']",[],[]
Sidecar,1,https://www.instagram.com/p/C8wtCORNgEt/,0,309,❤️❤️❤️,0,"How did they squeeze all that into a movie!? 🥹Watch the record-breaking #InsideOut2 in theatres near you! Grab your tix now. Link in bio 🎟️[ Comedy, Animation, Drama, New Release, Movies, Movie Plans, Trending, Plans, Book Now ]",no mentions,[],['❤️❤️❤️'],['InsideOut2']
Video,16,https://www.instagram.com/p/C8yn-Xkt1y6/,85725,1830,https://www.instagram.com/reel/C9UK6-voLq5/?igsh=MTFoMDRyMGh1ZzRnZQ==,294035,"She may sound sweet but always means business 😏Watch #Kalki2898AD in cinemas near you! Link in bio 🎟️ [ Prabhas, Amitabh Bachchan, Deepika Padukone, Kamal Haasan, Bujji, Action, Thriller, Science Fiction, New Movie, Movie Plans, Plans, Trending, Book Now ]",no mentions,"['amitabhbachchan', 'actorprabhas', 'kalki2898ad']","['https://www.instagram.com/reel/C9UK6-voLq5/?igsh=MTFoMDRyMGh1ZzRnZQ==', '❤️❤️', ""Bujji's what?"", '🔥🔥', '❤️🙌', '🔥🔥🔥🔥🔥', '🔥', 'Bujji\'s sass is unmatched (but second ""s"" is silent)', '@bookmyshowin  amazing \U0001f979🙏🏻💗💗💗\U0001fab7🥰🦚🦚 Kalki 28AD movie 🎥🍿', '@pro.hit 💀']",['Kalki2898AD']
