type,commentsCount,url,videoViewCount,likesCount,firstComment,videoPlayCount,caption,mentions,tagged_users,latestComments,hashtags
Image,107,https://www.instagram.com/p/DALzxodNv0n/,0,909,"Currently the person is singing “fix you” !! @bookmyshowin thank you for breaking so many hearts and dreams in a span of 30 minutes. @coldplay only you can mend this - please please please do more shows in India, we have waited for so long ♥️",0,"Mention that person who makes your life feel like a Coldplay song🥰✨[ New Movie Release, Kahan Shuru Kahan Khatam, BookMyShow, Coldplay, Songs ]",no mentions,[],"['Currently the person is singing “fix you” !! @bookmyshowin thank you for breaking so many hearts and dreams in a span of 30 minutes. @coldplay only you can mend this - please please please do more shows in India, we have waited for so long ♥️', 'Very bad management for Coldplay tickets booking. How can you let @viagogo and other scaplers to get more tickets than the fans?!!! @bookmyshowin you need to be responsible.', '☎️', 'Mfs', 'Edge to mat karo bhai', 'Book My Show is the “friend” that my mom warns me about', 'You fucked up.', '@emraan_hashmi0927 ki movie bhi  re-released karwa do tab hoga house full show on public demand 🙌', 'Im selling 4 tickets for lounge in exchange of level 2 tickets row b or O dm me for more info']",[]
Video,69,https://www.instagram.com/p/C_7ZYuaIWzO/,35234,765,@bookmyshowin  full of corrupt people,112669,"When I go missing, HOME is where you’ll find me 🏠🥳[ Bandland, Concert, BookMyShow, Plans, Music Festival ]",no mentions,"['bookmyshowin', 'bandland.in']","['@bookmyshowin  full of corrupt people', ""Max two tickets should have been done and entry for the one's booking it"", 'Pathetic management of the Coldplay concert tickets ... u ruined it for the die hard fans 👎👎', '#boycottbookmyshow', 'People used ‘inspect element’ trick to get the buy url before it was available to the general public and that’s how they were ahead of us.', 'Gonna go old school and book tickets at the venue itself', '@bookmyshowin just shut it down 🤬🤬🤬']",[]
Image,121,https://www.instagram.com/p/DAQytzlSMYh/,0,8694,Waitin’ ❤️ for ya @alanwalkermusic,0,"THE WALKER EFFECT! 🤩Alan Walker's Sunburn Arena tour captivates India! ❤️100,000+ tickets sold across 10 cities!Experience the magic! Book your tickets now if you still haven’t! #Kolkata SOLD OUT 🫶🏻#SunburnArena",no mentions,"['alanwalkermusic', 'hyundaiindia', 'reliance_digital', 'jackjonesindia', 'bookmyshowin', 'wilddrumofficial', 'epiccondoms']","['Waitin’ ❤️ for ya @alanwalkermusic', 'Do let me know if anyone has pass available in low rates ?', 'See you soon in mmrda mumbai 🤧', 'dhakkamukki krna jaake ab woha', 'In kochi only few left', 'Anyone for Ahmedabad!!', '@miravi_277 yes']","['Kolkata', 'SunburnArena']"
Video,33,https://www.instagram.com/p/DAQnuZAy3Yn/,9145,342,FKNNN SCAM SITE,40438,"Peppa Pig’s Adventure Premiere Show was a blast! 🐷✨ If you missed the fun, don’t worry—it’s just the beginning! Get ready for more excitement ahead! 🎉💖[ Peppa Pig, Peppa Pigs Adventure, Peppa Pig In India, Family Fun, Theatrical, Kotak White Experience]",no mentions,"['bookmyshowin', 'kotakbankltd']","['FKNNN SCAM SITE', 'Coldplay anyone!? Got some extra tickets', 'Report this fucking site', 'BMS walo laaj lajja sharam kitne me bhechi? Jara humko bhi batao #BMSkiMKC', 'MF acting like nothing happened @bookmyshowin you are the example of\nUNACCOUNTABILITY & IRRESPONSIBILITY\nclowns 🤡']",[]
Sidecar,818,https://www.instagram.com/p/DARY9V9Rf4l/,0,7759,You don't have the right to speak on this anymore. Shut the fk up.,0,⚠️ OFFICIAL STATEMENT REGARDING RESALE OF #MOTSWT TICKETS,no mentions,['bookmyshow.live'],"[""You don't have the right to speak on this anymore. Shut the fk up."", 'Please share the details of what happened during the booking process. \n\nIf you cant book a ticket in an open market thats fair.\n\nCan you assure that bots didn’t create the issue?\n\nIf scalping/reselling is illegal. How will you ensure that those attending have not sourced tickets from such people. \n\nSome clarity would be great, since there only seems to be disappointment.', ""Happy that there is a widespread outrage against BMS now. Faced the same issue while trying to get tickets for the cricket world cup. Too many tickets given away to vips and influencers who don't care about the game. This scam has to stop. You don't have to be in the elite class to watch a concert or a sport."", 'Chal juttha !', 'Biggest data collection and data selling scam', '@bookmyshowin Associate some id proof with the booking and that person who buy the ticket has to attend or else cancel that 4 tickets…', 'Could have made the tickets non transferable. Simple.', 'BMS team, you did as pathetic a job that you guys can. You have turned this into money minting game and are not interested apart from making your own fortunes. It’s a sad and shameful story that you guys have portrayed your servers went down, fans did not got ticket, people who have connects have got tickets I guess you should have not opened it for general public in that case', '@coldplay see how pathetic this official ticket partnership for Mumbai is!']",['MOTSWT']
Video,500,https://www.instagram.com/p/DALU906IeF1/,480258,45861,bndd kro..mai hath jodra to bnd kro hmari gaand jalana. nahi mili hme ticket bhai🙏🥲,1203513,"Get to know your seats better 💛 Make that plan and set your alarms for 22 September, 12 PM IST to book those tickets.For more updates, follow us!#MOTSWT #BookMyShowLive #BookMyShow #Coldplay #Coldplay2025 #Tickets #Concert #MusicOfTheSpheresWorldTour #Mumbai #Friends #Plans",no mentions,"['bookmyshowin', 'dypatilstadium']","['bndd kro..mai hath jodra to bnd kro hmari gaand jalana. nahi mili hme ticket bhai🙏🥲', 'Book my show mch h', 'chup bey', 'kya karu ye jaanke? sab resellers ne toh ticket leli, aur jisko chaiye unko milli hi nahi', 'Level sabke niklege']","['MOTSWT', 'BookMyShowLive', 'BookMyShow', 'Coldplay', 'Coldplay2025', 'Tickets', 'Concert', 'MusicOfTheSpheresWorldTour', 'Mumbai', 'Friends', 'Plans']"
Sidecar,965,https://www.instagram.com/p/DALJ_2byoTg/,0,29021,I got tickets 😁,0,"🚨 Here’s our guide to ease your ticket booking experience for the Coldplay Music Of The Spheres World Tour 2025 India ✨#MOTSWT #BookMyShowLive #BookMyShow #Coldplay #Coldplay2025 #Mumbai #Tickets #MusicOfTheSpheresWorldTour #Concert #Friends #Plans",no mentions,"['coldplay', 'bookmyshowin']","['I got tickets 😁', 'Got 4 extra tickets😍', '@maanas_baggu101 bhai looks like they were listening to you 😂😂']","['MOTSWT', 'BookMyShowLive', 'BookMyShow', 'Coldplay', 'Coldplay2025', 'Mumbai', 'Tickets', 'MusicOfTheSpheresWorldTour', 'Concert', 'Friends', 'Plans']"
Image,5561,https://www.instagram.com/p/DANjzQAoFH_/,0,23035,"You guys are just Morden day frauds @bookmyshowin !! This has been going for very long I’m glad that you guys are getting exposed, whenever I tried booking tickets through you guys weather it be IPL , CWC23  or coldplay tickets i don’t even know how I ended up being in queue after more than 2L people on all of my 4 devices 🤣! You guys can’t even handle a huge crowd on your site , which causes it to crash whenever the footfall is heavy! I mean Diljit tickets were also sold out fast but at least we were able to buy it because it was not on your shitty site ! Such a disgrace, you guys just mercilessly killed thousands of dreams within hours ! I wish coldplay cancels the tour and you guys get tired of refunding people! Amen",0,🚨A NEW SHOW HAS BEEN ADDED FOR 21 JAN 2025!! 1. Head on to the event page on #BookMyShow and hit the ‘Book Now’ button at 1:30 PM IST 2. You will be added to the waiting room3. You will be assigned a queue number at 2 PM IST4. Ticket sales go live at 2 PM IST sharp #MOTSWT #BookMyShowLive #BookMyShow #Coldplay #Coldplay2025 #Tickets #Concert #MusicOfTheSpheresWorldTour #Mumbai #Friends #Plans,no mentions,['bookmyshowin'],"['You guys are just Morden day frauds @bookmyshowin !! This has been going for very long I’m glad that you guys are getting exposed, whenever I tried booking tickets through you guys weather it be IPL , CWC23  or coldplay tickets i don’t even know how I ended up being in queue after more than 2L people on all of my 4 devices 🤣! You guys can’t even handle a huge crowd on your site , which causes it to crash whenever the footfall is heavy! I mean Diljit tickets were also sold out fast but at least we were able to buy it because it was not on your shitty site ! Such a disgrace, you guys just mercilessly killed thousands of dreams within hours ! I wish coldplay cancels the tour and you guys get tired of refunding people! Amen', '""Bhai 500 zyada lele lekin ticket dila de bhai"" -vipul shahu', 'Next time infinity tickets me jo logo ko mil gaya usko mat dijiye taki jinlogo ko nhi mila usko mil sake', 'Can someone please sue book my show for the unfair and shit ticket booking system PLS \nMost of the tickets sold are being sold in black. Please tell me how that’s fair @bookmyshowin @bookmyshow.live', 'Badua lagegi madarchodo tumhe', '@simrowh I wish the same🥲']","['BookMyShow', 'MOTSWT', 'BookMyShowLive', 'Coldplay', 'Coldplay2025', 'Tickets', 'Concert', 'MusicOfTheSpheresWorldTour', 'Mumbai', 'Friends', 'Plans']"
Video,176,https://www.instagram.com/p/DAJP4yRsiUa/,120008,23618,Yea yea. Keep influencing us to shower hatred on your privileged ass.,538259,tag someone you wany to sing “yellow” with 🧸tickets for Coldplay’s Music Of Spheres World Tour 2025 (MUMBAI EDITION) are  going live on 22nd September on BookMyShow and you don’t wanna miss out…. Go grab them right now and let’s fix ourselves while screaming to “fix you” 😌 #MOTSWT #BookMyShowLive #BookMyShow,no mentions,"['bookmyshowin', 'bookmyshow.live']","['Yea yea. Keep influencing us to shower hatred on your privileged ass.', 'Ban BMS if you see these people getting coldplay tickets for free..while people are actually falling prey to scammers', '@kurrykatara', 'Scammers', 'Only @bookmyshowin can fix me now', 'Didi ticket milli kii nahi?', 'Tickets available']","['MOTSWT', 'BookMyShowLive', 'BookMyShow']"
Image,4034,https://www.instagram.com/p/DANwlKfztjR/,0,19055,Don’t you think you should’ve posted this before the tickets went live and prevent bots entering and booking tickets in the first place,0,"Protect Yourself from Ticket Scams!Don’t fall prey to unauthorized platforms selling fake tickets for Coldplay’s Music Of The Spheres World Tour 2025 in India!#MOTSWT #BookMyShowLive #BookMyShow #Coldplay #Coldplay2025 #MusicOfTheSpheresWorldTour2025 #Mumbai #Tickets #Concert #Scams",no mentions,['bookmyshow.live'],"['Don’t you think you should’ve posted this before the tickets went live and prevent bots entering and booking tickets in the first place', 'wo 10 mins ye log apni book kr rhe the .', ""Gonna start an influencer page incase my fav artists come to India and I could bag a few free tickets from BMS like what y'all did to influencers 🙏 guess that's my only hope in this rigged system LMFAO FIX YA SHIT"", 'Tickets avail !!!', 'You protect yourself first', 'If hating you was a sport, I’d be a gold medalist.', 'Tumse kuch na ho payga🙏', 'Ab to sach bolde']","['MOTSWT', 'BookMyShowLive', 'BookMyShow', 'Coldplay', 'Coldplay2025', 'MusicOfTheSpheresWorldTour2025', 'Mumbai', 'Tickets', 'Concert', 'Scams']"
Video,465,https://www.instagram.com/p/DAFq9KSyNzP/,233349,59384,Bookmyshow - is a scam !,970399,"Call it magic, call it true ✨💛You don’t want to miss Music Of The Spheres World Tour 2025 - India edition! Hit ‘I’m Interested’ now on the app to stay up to date with all things #Coldplay!DY PATIL STADIUM, MUMBAI on SAT 18 & SUN 19 JANUARY 2025! 💚❤Tickets on sale 22 SEPTEMBER 2024 AT 12PM IST#MOTSWT #BookMyShowLive #BookMyShow #Coldplay #ColdplayMusic #Coldplayconcert",no mentions,"['coldplay', 'bookmyshowin']","['Bookmyshow - is a scam !', '@bookmyshowin is full of corrupt people', 'Good job guys u tried to manage the traffic well.', 'Dont come here. Its all full of shit management for tickets. All ticket scamsters are gonna showup for your concert.', 'Shame on you ! @bookmyshow.live', '@coldplayindia.in but for what? Just to get queued and not get a ticket.🤧🙄']","['Coldplay!', 'MOTSWT', 'BookMyShowLive', 'BookMyShow', 'Coldplay', 'ColdplayMusic', 'Coldplayconcert']"
Sidecar,135,https://www.instagram.com/p/DAISw4FTjk4/,0,8429,Stop playing with our feelings. We already know that you are the fraudulent.,0,Issued in public interest ✅#MOTSWT #BookMyShowLive #BookMyShow #Coldplay #Coldplay2025 #ColdplayMusic #ColdplayConcert #MusicOfTheSpheresWorldTour #Mumbai #Concert,no mentions,['bookmyshow.live'],"['Stop playing with our feelings. We already know that you are the fraudulent.', 'You guys are  the biggest scammer selling to influencers celebrities and blocked by staff n rest sold to 3rd parties n just for a sake of sales u gave 10% only to actual fans…', 'Have tickets availl !!', 'BMS was the biggest scammer of all time', '“Coldplay concert tickets for January 18th, 2025, are now available! Grab yours before they’re gone and be part of an incredible night of live music.”', '@bookmyshowin tuhmari aukaat ni hai dhang se site chalane ki aur tum coldplay ko bulaoge hijdo, tum movies ki tix becho wahi tak tuhmari aukkat hai mc @bookmyshowin', ""YOU'RE FRAUDULENT!""]","['MOTSWT', 'BookMyShowLive', 'BookMyShow', 'Coldplay', 'Coldplay2025', 'ColdplayMusic', 'ColdplayConcert', 'MusicOfTheSpheresWorldTour', 'Mumbai', 'Concert']"
Video,298,https://www.instagram.com/p/DAI2WkxOc0e/,248948,38232,I have one ticket.... Catch up,712288,my social anxiety and i both will sip on chamomile tea because coldplay’s music of the spheres world tour 2025 is here and i cannot wait to watch them live and cry my heart out ⭐️🌙🌕get your tickets on @bookmyshow!!#MOTSWT #BookMyShow #BookMyShowLive #collab,['bookmyshow!!'],"['bookmyshowin', 'bookmyshow.live']","['I have one ticket.... Catch up', 'Tumhe ticket mil gayi????', 'Aise hi gen z ke 14 log overhype karte hai aisi unnecessary chizon ko ❗😏', 'Posers', 'aare bhadwo yellow ek Coldplay ka song pata hai max aur itna hype??!', '@imyourfyp kardiya didi future predict 😢😔']","['MOTSWT', 'BookMyShow', 'BookMyShowLive', 'collab']"
Video,409,https://www.instagram.com/p/DAGjlG6NmQu/,360975,65826,Fake hopes be like,951453,"WHO YOU GOING WITH? 😍💛✨It’s finally happening! Get ready to witness @coldplay ‘s Music Of The Spheres World Tour 2025 🪐 because it’s coming to India, and we can’t keep calm! 🎶Official dates: January 18 and January 19, 2025Tickets available on @bookmyshowin on 22nd September 💛 Tag your concert buddy and let’s make memories that last a lifetime.And take it from someone who has been incredibly lucky to see Coldplay in concert already, THERE IS NO BAD SEAT AT A COLDPLAY CONCERT! I highly highly highly recommend booking that ticket cause IT IS ABSOLUTELY WORTH THE HYPE! IT IS TRULY….MAGICAL✨#MOTSWT #BookMyShowLive #BookMyShow #coldplayindia2025 #coldplayinindia #coldplayconcert #reelswithritvi #coldplaylive #coldplayfans #coldplayindia #yellow #coldplayyellow #vivalavida","['coldplay', 'bookmyshowin']","['coldplay', 'bookmyshowin', 'bookmyshow.live']","['Fake hopes be like', 'Waste of money', 'I have 4 tickets', 'Hey i have tickets', 'Got tickets DM', 'I hv one extra tickets if anyone wants to come']","['MOTSWT', 'BookMyShowLive', 'BookMyShow', 'coldplayindia2025', 'coldplayinindia', 'coldplayconcert', 'reelswithritvi', 'coldplaylive', 'coldplayfans', 'coldplayindia', 'yellow', 'coldplayyellow', 'vivalavida']"
Image,91,https://www.instagram.com/p/DAGsZlZTJpL/,0,3796,Bcz of ur app !!!!! Everyone was waiting since 11:30 … every one of us got logged out wtf happed !!! An tickets were not even live till 12:15 its your fault man up an arrange the next concert 😭🤬🤬,0,"POV: You’re looking at admin’s DMs[ Yudhra, New Movie Release, BookMyShow, Coldplay, Trending ]",no mentions,[],"['Bcz of ur app !!!!! Everyone was waiting since 11:30 … every one of us got logged out wtf happed !!! An tickets were not even live till 12:15 its your fault man up an arrange the next concert 😭🤬🤬', 'Anyone selling? Please DM', 'Movie tickets m bhi queue lagana start krdoge lagray', 'How much?']",[]
Video,88,https://www.instagram.com/p/DAGHYz4A0v_/,62450,5071,Was going to show up but you denied the ticket,184970,"Plans = SORTED 🥰Now just show up! 🚀[ Concerts, Party, Music Festival, Lollapalooza, Sunburn 2024, Plans, Coldplay India ]",no mentions,"['sunburnfestival', 'lollaindia', 'bookmyshow.live', 'bandland.in']","['Was going to show up but you denied the ticket', 'Where are the tickets ....😢', 'Too many plans but no tickets', 'chup']",[]
Image,15,https://www.instagram.com/p/DAIeIZuyDS7/,0,1409,MSG is important,0,"Add some extra extra MSG and you’re good to go 🤝[ Nigel Ng, Uncle Roger, Nigel Ng The Haiyaa World Tour, Haiyaa, Haiyaa Tour, Haiyaa World Tour, Haiyaa India Tour, BookMyShow Live ]",no mentions,['bookmyshowin'],"['MSG is important', 'MKC BMS', 'egg-fai-rice', 'When you can’t handle the server why on earth would you all be so bloody stupid to take up something as big as coldplay! Your bloody servers crashed when we were inside!!! Not getting is something else your bloody incompetence should be punished \nShut your stupid bloody website if you can’t hire people to handle it \nUSELESS', 'FUIYOOOOHHH', 'GALAT KIYAAA BMS.', 'F* all app', 'Roger is in india', 'Kindly check your dm']",[]
Image,1313,https://www.instagram.com/p/DAFTXZxyHoe/,0,90222,Need a ticket,0,"COLDPLAY is coming to MUMBAI 🪐Music Of The Spheres World Tour 2025 at DY PATIL STADIUM, MUMBAI on SAT 18 & SUN 19 JANUARY 2025! 💚❤Tickets on sale 22 SEPTEMBER 2024 AT 12PM IST#MOTSWT #BookMyShowLive #BookMyShow #Coldplay #ColdplayMusic #Coldplayconcert",no mentions,"['coldplay', 'bookmyshowin']","['Need a ticket', 'Ahhh..I got the tickets, I am so excited now!! and I got 5 extra as well:)', 'I have 3 Coldplay tickets , Block C Level 1 of 21st Jan 2025', 'HEYO GUYS GOT SOME EXTRA TICKETSSSSSSS', 'hey ive got extra tickets, just in case anyone needs???????', '@anushkaa__gupta__ check dm', '@anushkaa__gupta__ dm mee']","['MOTSWT', 'BookMyShowLive', 'BookMyShow', 'Coldplay', 'ColdplayMusic', 'Coldplayconcert']"
Image,10,https://www.instagram.com/p/DAI5ZPrgeOL/,0,250,Very bad management for Coldplay tickets booking. How can you let @viagogo and other scaplers to get more tickets than the fans?!!! @bookmyshowin you need to be responsible.,0,"Yeh dosti hum nahi todenge❎Is dosti ne hume tod diya✅[ Transformers One, New Movie Release, BookMyShow, Trending ]",no mentions,[],"['Very bad management for Coldplay tickets booking. How can you let @viagogo and other scaplers to get more tickets than the fans?!!! @bookmyshowin you need to be responsible.', 'When you can’t handle the server why on earth would you all be so bloody stupid to take up something as big as coldplay! Your bloody servers crashed when we were inside!!! Not getting is something else your bloody incompetence should be punished \nShut your stupid bloody website if you can’t hire people to handle it \nUSELESS', 'Movie starting 🤣 movie mid🗿 movie ending 💀', 'Kindly check your dm', 'how are tickets being sold earlier than scheduled date? No one is special and we all deserve equal chance. @coldplayindia.in please look into this', 'T❤️😮']",[]
Image,8,https://www.instagram.com/p/DAD2IG8tOZU/,0,218,SCAMMER APP,0,"We’ll go first, we’d be “Planwave😎”#Transformers #TransformersOne",no mentions,['paramountpicsin'],"['SCAMMER APP', 'Optimussecondary', 'Whiplash', 'Overthinkingscream', 'Badassotron', '🙌🙌 great', 'CapybaraWave 🎀💯']","['Transformers', 'TransformersOne']"
Image,5282,https://www.instagram.com/p/DANYa01yFLk/,0,19044,Thts nt happening,0,🚨🚨 IMPORTANT UPDATE: There is an unprecedented demand for the show & we want to give every fan a fair chance to purchase the tickets. One user can book a MAXIMUM OF 4 TICKETS across all shows. Tickets Go LIVE at 12 PM IST TODAY!#MOTSWT #Coldplay2025 #Tickets #Coldplay #MusicOfTheSpheresWorldTour #Concert,no mentions,['bookmyshowin'],"['Thts nt happening', 'Is it true that no one was able to purchase tickets ??where did all tge tickets go??', 'Fuck you and your 4 fucking tickets!! Hire a good tech team and increase your server bandwidths you!!😡', 'I got tickets 😁', 'I have 4 extra tickets', '@kushankk.israniiiii 😂']","['MOTSWT', 'Coldplay2025', 'Tickets', 'Coldplay', 'MusicOfTheSpheresWorldTour', 'Concert']"
Image,4,https://www.instagram.com/p/DADhXoEAqQP/,0,724,❤️,0,"The summer anthem queeeeen is coming to grace us with her presence! Are you ready to end 2024 with her? Grab your tix now![ Sunburn 2024, Sunburn Goa, Peggy, Concert ]",no mentions,"['peggygou_', 'sunburnfestival']","['❤️', 'Location all this comes afterwards 😂??']",[]
Image,7,https://www.instagram.com/p/DABSbkyt1Wz/,0,397,"Ahh, the sheer irony.",0,Tell us a worse feeling than this😭👆#NeverLetGo #AlexabdreAja  #HalleBerry #PVRINOXPictures,no mentions,['pvrpictures'],"['Ahh, the sheer irony.', 'Dil jo tuta hai ajj...Fix You loop mai sunn raha hu', 'saalo aade me milo', 'I didn’t get the tickets 😢', 'Are Coldplay ki announcement kab?']","['NeverLetGo', 'AlexabdreAja', 'HalleBerry', 'PVRINOXPictures']"
Video,3413,https://www.instagram.com/p/DADvXSRo6FB/,634178,98496,@dali_soneji @raashibudhwani brands k comments padh 😂,2386347,#MOTSWT,no mentions,['bookmyshowin'],"['@dali_soneji @raashibudhwani brands k comments padh 😂', 'In a sky full of stars, we’ll help you shine by preserving your most magical concert moments!” ✨🌠', 'Scamster #bookmyshow', '@bookmyshowin if u had spent less money marketing & more on app development, you’d have made it !', '@hinal_diora geniussss']",['MOTSWT']
Video,5,https://www.instagram.com/p/DAAqS1VPZxE/,8533,399,Very bad management for Coldplay tickets booking. How can you let @viagogo and other scaplers to get more tickets than the fans?!!! @bookmyshowin you need to be responsible.,40961,Non-stop Laughter Guaranteed with back to back 3 days of the craziest comedians in India performing at the No Way Comedy Festival! Tickets available exclusively on @bookmyshowin #Nowaycomedyfestival,['bookmyshowin'],"['bookmyshowin', 'airiamall', 'orioleentertainment']","['Very bad management for Coldplay tickets booking. How can you let @viagogo and other scaplers to get more tickets than the fans?!!! @bookmyshowin you need to be responsible.', 'mumbai??', '🔥🔥🔥', '🔥🔥', '🔥']",['Nowaycomedyfestival']
Video,9,https://www.instagram.com/p/C_55TmQoAtq/,2791,143,Unable to book ground floor tickets in delhi. Pls help,18825,"Now that you’ve met them virtually, it’s time to meet them in reality![ Peppa Pig, Peppa Pig's Adventure, Peppa Pig in India, Family Fun, Theatrical, Book Now, Kotak White Experience ]",no mentions,"['hasbro', 'bookmyshowin', 'kotakbankltd']","['Unable to book ground floor tickets in delhi. Pls help', 'Ahmedabad details please.', 'Delhi NCR detail pls', 'Details pls', 'PLEASE SHOW ERAS TOUR TAYLOR SWIFT IN AURANGABAD AGAIN', '@rajamamidanna I hope you r taking your nephew here', 'Banglore details plz share', 'No details in website', 'When is this coming to Bangalore? The BMS website has no details yet.']",[]
Image,3,https://www.instagram.com/p/C_8c_0ayugg/,0,188,Karan Aujla Bangalore tickets available,0,"PSA: Uncle Roger is worried about your FOMO😉[ Nigel Ng, Uncle Roger, Nigel Ng The Haiyaa World Tour, Haiyaa, Haiyaa Tour, Haiyaa World Tour, Haiyaa India Tour, BookMyShow Live ]",no mentions,['bookmyshowin'],"['Karan Aujla Bangalore tickets available', 'bruh Delhi? who will even understand anything there!?']",[]
Sidecar,2,https://www.instagram.com/p/C_-D738IaQr/,0,161,What are the dates for bangalore?,0,"Get ready for a magical adventure filled with sing-along songs and unforgettable family fun! Peppa Pig Live Theatrical is back in India, bringing joy to Ahmedabad & back to Mumbai.Exclusive Pre-Sale Alert for Kotak White Credit Card customers! Unlock early access to tickets and secure your spot at this enchanting event before anyone else! 🎟️💳📅 Kotak Credit Card Pre-Sale: 17th Sept 12 pm to 19th Sept 11:59 am IST 📅 General Ticket Sales: 19th Sept 1 pm IST onwards📍 Locations: Mumbai & AhmedabadDon't miss out on the chance to create magical memories with your little ones.General tickets go live soon. Swipe for more ticketing information!#PeppaPig #PeppaPigsAdventure #PeppaPigInIndia #FamilyFun #Theatrical #BookNow #KotakWhiteExperience",no mentions,"['hasbro', 'bookmyshowin', 'kotakbankltd']","['What are the dates for bangalore?', 'Yeh sab toh thik hai but Coldplay ki announcement kab?']","['PeppaPig', 'PeppaPigsAdventure', 'PeppaPigInIndia', 'FamilyFun', 'Theatrical', 'BookNow', 'KotakWhiteExperience']"
Image,3,https://www.instagram.com/p/DAAiYqzSC7n/,0,127,I want to book tickets but only balcony seats are showing when m trying to book. Please help,0,"You know what to do, if you don’t have Kotak Credit Card.Just Phone your Kotak Credit Card customer friendsand book your tickets!#PeppaPig #PeppaPigsAdventure #PeppaPigInIndia #FamilyFun #Theatrical #BookNow #KotakWhiteExperience",no mentions,"['hasbro', 'bookmyshowin', 'kotakbankltd']","['I want to book tickets but only balcony seats are showing when m trying to book. Please help', 'Details pls']","['PeppaPig', 'PeppaPigsAdventure', 'PeppaPigInIndia', 'FamilyFun', 'Theatrical', 'BookNow', 'KotakWhiteExperience']"
Image,1,https://www.instagram.com/p/C_5nAd8trQS/,0,178,😍😍😍😮👏👏,0,"Asli darr ka mahol toh yaha hai 👀[ Kondal, New Movie Release, Trending, BookMyShow ]",no mentions,[],['😍😍😍😮👏👏'],[]
Video,6,https://www.instagram.com/p/C_-Z919g5r_/,5248,345,Only love for you🫂💕💕,27746,"@prateekkuhad reacting to fan comments has our 🫶🏻[ Prateek Kuhad, Fan Comments, Reaction Video, Trending, BookMyShow ]",['prateekkuhad'],"['prateekkuhad', 'tribevibe.live', 'teamprateekkuhad']","['Only love for you🫂💕💕', ""Where's jungkooks I am still???? Why is it not showing on your app"", '❤️', 'Cant wait to be there!❤️❤️❤️', ""First one, that's meeee \U0001f979 Thank you for being a part of my routine @prateekkuhad ❤️"", 'Wonderful']",[]
Sidecar,1,https://www.instagram.com/p/C_29jhvNvmU/,0,198,Get the amazing outfits from @buynsnap,0,"Navratri catchphrases to keep handy 😏This is your sign to book your Navratri tickets —link in bio![ Navratri, Falguni Pathak, Festival, Music, Garba, Event, Tradition, Plans, Friends, Dandiya ]",no mentions,[],['Get the amazing outfits from @buynsnap'],[]
Image,110,https://www.instagram.com/p/C_2CKZro9Ht/,0,1822,Anyone reselling eb/ga passes or tickets for both days ? Or day2,0,"Single-day tickets are now LIVE! Pick your day, secure your spot with a GA, Lolla Comfort by RuPay, or Lolla VIP ticket 🎟️ Buy tix - link in bio 🔗",no mentions,"['bookmyshowin', 'bookmyshow.live']","['Anyone reselling eb/ga passes or tickets for both days ? Or day2', 'Anyone selling?', 'Anyone reselling??', 'Anyone reselling?', '@jessdoshi28 pp then? For reselling?']",[]
Video,0,https://www.instagram.com/p/C_3V19qNHeH/,3621,145,,16620,"Patiently waiting to analyze and decode the film ASAP🙉[ The Buckingham Murders, New Movie Release, Trending, Kareen Kapoor Khan, BookMyShow ]",no mentions,[],[],[]
Image,4549,https://www.instagram.com/p/C_uSfnKI10i/,0,89895,Anyone needs day 2 pass?,0,"Four stages, one electrifying lineup. Here is Lollapalooza India 2025! Tickets on: lollaindia.comYou know the drill.",no mentions,"['hm', 'bookmyshowin', 'rupay_npci', 'bookmyshow.live']","['Anyone needs day 2 pass?', 'I’ve got 2 general lolla tickets', '@cengage8 still available?', '@mehr.auliroad hi still available?']",[]
Image,427,https://www.instagram.com/p/C_2A7Y8oKa1/,0,15998,What about delhi,0,"Here is a your day-wise lineup, with single-day tickets up for grabs! Make those decisions and get your tickets now! 🙌🏽",no mentions,"['hm', 'bookmyshowin', 'rupay_npci', 'bookmyshow.live']","['What about delhi', 'Does anyone have a ticket for sunday?', 'Green Day!', 'Reselling day 1 passes for a lesser price.', '@vanesa.lobo12 8th']",[]
Video,2,https://www.instagram.com/p/C_u_4y4o9UD/,2386,168,What is the timing for the show in pune,14348,That’s one way to make an entrance🙌💕#PeppaPig #PeppaPigsAdventure #PeppaPigInIndia #FamilyFun #Theatrical #BookNow #KotakWhiteExperience,no mentions,"['hasbro', 'bookmyshowin', 'kotakbankltd']","['What is the timing for the show in pune', 'My alumnus and my event in one frame 😍']","['PeppaPig', 'PeppaPigsAdventure', 'PeppaPigInIndia', 'FamilyFun', 'Theatrical', 'BookNow', 'KotakWhiteExperience']"
Sidecar,5,https://www.instagram.com/p/DAA4-f7oR8s/,0,434,Only in Delhi goddamn,0,"Well that sounds about right 😉[ Nigel Ng, Uncle Roger, Nigel Ng The Haiyaa World Tour, Haiyaa, Haiyaa Tour, Haiyaa World Tour, Haiyaa India Tour, BookMyShow Live ]",no mentions,['bookmyshowin'],"['Only in Delhi goddamn', 'Okay but when', 'Uncle Roger\U0001f979', 'UNCLE ROGER WHEN']",[]
Image,0,https://www.instagram.com/p/C_z-uEDTLAI/,0,247,,0,"Current station: Manifestation🥰[ Ardaas Sarbat De Bhale Di, New Movie Release, BookMyShow, Trending ]",no mentions,[],[],[]
